AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
11967473,11512,9/25/2018,12/23/2020,Assisted Living Facility,SILVER LAKE ALF  INC,3211 W SITKA STREET,,TAMPA,FL,33614,Hillsborough,(813) 410-0828,3211 W SITKA STREET,,TAMPA,FL,33614,Hillsborough,LICENSED,SILVER LAKE ALF INC,7/7/2016,ASRIEL LOPEZ,6,For-Profit,
11964410,8956,8/1/2019,10/29/2021,Assisted Living Facility,SILVER LAKE VILLAGE,34601 RADIO ROAD,,LEESBURG,FL,34788,Lake,(352) 365-9929,34601 RADIO ROAD,,LEESBURG,FL,34788,Lake,LICENSED,Silver Lake Village Inc,8/1/2019,SAMUEL F BONGIOVANNI,8,For-Profit,
11965436,9834,11/15/2019,2/12/2022,Assisted Living Facility,SILVER LIFE LLC,2830 SW 106 AVENUE,,MIAMI,FL,33165,Miami-Dade,(305) 221-9955,2830 SW 106 AVENUE,,MIAMI,FL,33165,Miami-Dade,LICENSED,SILVER LIFE LLC,11/15/2015,ANA T DEL PINO,6,For-Profit,
11966922,11053,7/10/2019,10/7/2021,Assisted Living Facility,SILVER MOMENTS LLC,8847 NW 180 TERRACE,,MIAMI,FL,33018,Miami-Dade,(305) 878-5970,8847 NW 180 TERRACE,,MIAMI,FL,33018,Miami-Dade,LICENSED,SILVER MOMENTS  LLC,4/2/2007,BEATRIZ DIAZ,6,For-Profit,
11966977,11069,6/4/2018,9/1/2020,Assisted Living Facility,SILVER PALM ALF CORP,11271 SW 229 TERRACE,,MIAMI,FL,33170,Miami-Dade,(786) 504-2691,11271 SW 229 TERR,,MIAMI,FL,33170,,LICENSED,SILVER PALM ALF CORP,4/4/2014,OLGA MONTOYA,6,For-Profit,
11967082,11170,3/2/2018,3/1/2020,Assisted Living Facility,SILVER PALM ALF III  LLC.,8640 SW 185 STREET,,MIAMI,FL,33157,Miami-Dade,(786) 732-0123,8640 SW 185 STREET,,MIAMI,FL,33157,Miami-Dade,IN REVIEW,SILVER PALM ALF III  LLC.,3/2/2016,OLGA MONTOYA,6,For-Profit,
11966844,11099,2/2/2019,5/2/2021,Assisted Living Facility,SILVER PALM ALF II LLC,10241 SW 134 AVENUE,,MIAMI,FL,33186,Miami-Dade,(305) 383-0622,10241 SW 134 AVENUE,,MIAMI,FL,33186,Miami-Dade,LICENSED,SILVER PALM ALF II LLC,2/2/2015,OLGA MONTOYA,6,For-Profit,
11968746,12605,1/6/2019,4/5/2021,Assisted Living Facility,SILVER PALM ASSISTED LIVING  LLC,3970 SW 144TH AVE,,MIAMI,FL,33175,Miami-Dade,(305) 226-1706,3970 SW 144TH AVE,,MIAMI,FL,33175,Miami-Dade,LICENSED,SILVER PALM ASSISTED LIVING  LLC,10/15/2014,AMINTA MEDINA,22,For-Profit,
11968973,12806,3/18/2020,3/17/2022,Assisted Living Facility,SILVER SHORES LIVING  INC,2317 GILMORE ST,,JACKSONVILLE,FL,32204,Duval,(904) 683-1580,2317 GILMORE ST,,JACKSONVILLE,FL,32204,Duval,LICENSED,SILVER SHORES LIVING INC.,1/13/2016,ANN-MARIE A KNIGHT,10,For-Profit,www.silvershoresliving.com
11968461,12381,8/1/2019,10/29/2021,Assisted Living Facility,SILVER TIMES ASSISTED LIVING FACILITY INC,18830 NW 80TH AVE,,MIAMI,FL,33015,Miami-Dade,(305) 878-5970,4546 NW 111TH CT,,DORAL,FL,33178-4362,Miami-Dade,LICENSED,SILVER TIMES ASSISTED LIVING FACILITY INC,1/28/2013,OSVALDO BUZZI,6,For-Profit,
11969370,13169,5/9/2020,5/8/2022,Assisted Living Facility,SILVER TREASURES AT LANE,1769 LANE AVE S,,JACKSONVILLE,FL,32210,Duval,(904) 990-6001,1769 LANE AVE S,,JACKSONVILLE,FL,32210,Duval,LICENSED,Good Shepherd Retirement LLC,3/7/2018,CAREN CAPUYAN,16,For-Profit,www.silvertreasuresatlane.com
11965723,10051,7/23/2019,10/20/2021,Assisted Living Facility,SILVER TREASURES AT MANDARIN,1815 ORANGE PICKER RD,,JACKSONVILLE,FL,32223,Duval,(904) 268-1959,2689 ART MUSEUM DRIVE,,JACKSONVILLE,FL,32207,Duval,LICENSED,FREJEN CORPORATION,6/8/2001,JENNIFER S ARGUILLA,6,For-Profit,
11969512,13288,4/2/2019,6/30/2021,Assisted Living Facility,SILVER TREASURES AT ORANGE PARK LLC,2067 PROFESSIONAL CENTER DRIVE,,ORANGE PARK,FL,32073,Clay,(904) 859-0062,2069 PROFESSIONAL CENTER DRIVE,,ORANGE PARK,FL,32073,Clay,LICENSED,SILVER TREASURES AT ORANGE PARK  LLC,4/2/2019,AKASH SHAH,16,For-Profit,
11968988,12846,6/7/2018,6/6/2020,Assisted Living Facility,SILVER TREASURES AT ST AUGUSTINE,3552 N PONCE DE LEON BLVD,,SAINT AUGUSTINE,FL,32084,St. Johns,(904) 580-7800,100 HILLCREST HEIGHTS AVE,,ST. JOHNS,FL,32259,,LICENSED,MERIDIAN RETIREMENT CORPORATION,2/19/2016,WILLIAM MAGUIRE,39,For-Profit,www.silvertreasuresstaugustine.com
11969603,13388,1/6/2020,4/5/2022,Assisted Living Facility,SILVER TREASURES SENIOR LIVING,119 DA VINCI BLVD,,PONTE VEDRA,FL,32081,St. Johns,(904) 326-0900,119 DA VINCI BLVD,,PONTE VEDRA,FL,32081,St. Johns,LICENSED,Jax Senior Care LLC,10/7/2019,ESTRELLA P PIRAGINE,16,For-Profit,
11969487,13282,3/14/2019,6/11/2021,Assisted Living Facility,SILVER YEARS ALF  INC,10220 SW 164TH ST,,MIAMI,FL,33157,Miami-Dade,(786) 478-8888,10220 SW 164TH ST,,MIAMI,FL,33157,Miami-Dade,LICENSED,Silver Years ALF Inc,12/13/2018,MARISABEL COMAS,6,For-Profit,
11911257,5230,4/26/2019,7/24/2021,Assisted Living Facility,SIM LODGE,4111 NIGERIA ROAD,,SEBRING,FL,33875-5557,Highlands,(863) 385-5514,4111 NIGERIA ROAD,,SEBRING,FL,33875-5557,Highlands,LICENSED,SUDAN INTERIOR MISSION INC,5/13/1991,AMY BATEMAN,15,Not-For-Profit,
11969208,13035,7/31/2019,10/28/2021,Assisted Living Facility,SISTER ZAIDA'S ALF INC,17783 SW 145 AVE,,MIAMI,FL,33177,Miami-Dade,(305) 964-7881,17783 SW 145 AVE,,MIAMI,FL,33177,Miami-Dade,LICENSED,SISTER ZAIDA'S ALF INC,4/21/2017,MAILENYS FUENTES,6,For-Profit,
11969538,13323,8/14/2019,11/11/2021,Assisted Living Facility,SISTER ZAIDAS ALF # 2 INC,3811 NW 2 ST,,MIAMI,FL,33126,Miami-Dade,(786) 357-5296,3811 NW 2 ST,,MIAMI,FL,33126,Miami-Dade,LICENSED,Sister Zaida's ALF #2  Inc.,8/14/2019,AMPARO ARMAS,6,For-Profit,
11965145,9611,7/28/2019,10/25/2021,Assisted Living Facility,SIXMA SENIORS,2766 & 2772 SIXMA ROAD,,DELTONA,FL,32738,Volusia,(386) 789-5991,2766 & 2772 SIXMA ROAD,,DELTONA,FL,32738,Volusia,LICENSED,SIXMA SENIORS  INC.,5/31/2013,DIANE V. WEDGEWORTH,12,For-Profit,
11968771,12613,1/24/2020,1/20/2019,Assisted Living Facility,SKAGWAY LIVING FACILITY LLC,2210 W SKAGWAY AVE,,TAMPA,FL,33604,Hillsborough,(813) 463-6799,2210 W SKAGWAY AVE,,TAMPA,FL,33604,Hillsborough,IN LITIGATION,SKAGWAY LIVING FACILITY  LLC,11/24/2014,SONIA MEDINA,6,For-Profit,
11965366,9775,10/24/2018,9/27/2020,Assisted Living Facility,SLOAN HOME OF CENTRAL FLORIDA INC,307 S HIAWASSEE RD,,ORLANDO,FL,32835,Orange,(407) 297-1781,307 S HIAWASSEE RD,,ORLANDO,FL,32835,Orange,LICENSED,SLOAN HOME OF CENTRAL FLORIDA  INC,6/30/2008,KIMBERLY ESARDIAL,6,For-Profit,
11968399,12286,11/15/2018,2/12/2021,Assisted Living Facility,SLOAN HOME OF CENTRAL FLORIDA INC II,505 HARBOR POINT BLVD,,ORLANDO,FL,32835,Orange,(407) 663-9537,505 HARBOR POINT BLVD,,ORLANDO,FL,32835,Orange,LICENSED,SLOAN HOME OF CENTRAL FLORIDA  INC,11/1/2012,KIMBERLY ESARDIAL,5,For-Profit,
11966911,10997,4/13/2019,7/11/2021,Assisted Living Facility,SMALLVILLE,10144 BROWNWOOD AVE,,ORLANDO,FL,32825,Orange,(321) 354-9734,10144 BROWNWOOD AVE,,ORLANDO,FL,32825,Orange,LICENSED,BACERRA-LEGASPI CARE CORP,3/19/2007,FRANK LEGASPI,6,For-Profit,
11967636,11623,7/20/2019,10/17/2021,Assisted Living Facility,SMALLVILLE II,10631 JANE EYRE DRIVE,,ORLANDO,FL,32825,Orange,(407) 286-7196,10631 JANE EYRE DRIVE,,ORLANDO,FL,32825,Orange,LICENSED,BACERRA-LEGASPI CARE CORP,6/8/2009,FRANK LEGASPI,6,For-Profit,
11953579,8648,3/9/2020,3/8/2020,Assisted Living Facility,SMILES & LOVING CARE,1065 GARDEN ROAD,,MERRITT ISLAND,FL,32952,Brevard,(321) 454-4624,1065 GARDEN ROAD,,MERRITT ISLAND,FL,32952,Brevard,IN REVIEW,FLORIDA SHORES OF MELOURNE ASSISTED LIVING INC.,3/6/2008,IRENE WILKERSON,6,For-Profit,
11966315,10584,1/21/2019,4/20/2021,Assisted Living Facility,SMYRNA WEST ASSISTED LIVING FACILITY,301 MILFORD PLACE,,NEW SMYRNA BEACH,FL,32168,Volusia,(386) 409-7993,BOX 2819,,NEW SMYRNA BEACH,FL,32170,Volusia,LICENSED,APOSTOLIC FAITH TEMPLE INC,10/13/2004,BETH SNYDER,16,Not-For-Profit,
11968054,12052,8/24/2019,11/21/2021,Assisted Living Facility,SOARING EAGLE INVESTMENT ASSISTED LIVING FACILITY LLC,1568 SW CALIFORNIA BLVD,,PORT ST LUCIE,FL,34953-1736,St. Lucie,(772) 249-4745,1568 SW CALIFORNIA BLVD,,PORT ST LUCIE,FL,34953-1736,St. Lucie,LICENSED,SOARING EAGLE INVESTMENT ASSISTED LIVING FACILITY LLC.,3/14/2011,DOREEN LAWRENCE,5,For-Profit,www.soaringeagleassistedliving.com
11968035,12002,5/25/2019,8/22/2021,Assisted Living Facility,SOFIA HOME HEALTH CARE INC,950 NE 120 STREET,,BISCAYNE PARK,FL,33161,Miami-Dade,(305) 891-4015,950 NE 120TH ST,,BISCAYNE PARK,FL,33161,Miami-Dade,LICENSED,SOFIA HOME HEALTH CARE INC.,2/10/2011,SOPIA SERRANO,8,For-Profit,
11966339,10555,4/1/2019,6/29/2021,Assisted Living Facility,SOL ASSISTED LIVING FACILITY II INC,5716 SW 149 PLACE,,MIAMI,FL,33193,Miami-Dade,(305) 382-2441,5716 SW 149 PLACE,,MIAMI,FL,33193,Miami-Dade,LICENSED,SOL ASSISTED LIVING FACILITY II  INC.,4/1/2017,NORAH RUTH MARISCAL,6,For-Profit,
11965704,10061,9/20/2018,12/18/2020,Assisted Living Facility,SOL ASSISTED LIVING FACILITY INC,2400 SW 137TH CT,,MIAMI,FL,33175,Miami-Dade,(305) 229-1615,2400 SW 137TH CT,,MIAMI,FL,33175,Miami-Dade,LICENSED,SOL ASSISTED LIVING FACILITY INC,3/24/2011,OMAYDA VAZQUEZ,6,For-Profit,
11967325,11414,9/3/2018,12/1/2020,Assisted Living Facility,SOL RADIANTE  INC,221 NE 15 STREET,,HOMESTEAD,FL,33030,Miami-Dade,(305) 246-4798,221 NE 15 STREET,,HOMESTEAD,FL,33030,Miami-Dade,LICENSED,SOL RADIANTE  INC,9/3/2008,NIURKA FIGUEREDO,6,For-Profit,
11964343,8975,1/1/2020,3/31/2022,Assisted Living Facility,SOLARIS SENIOR LIVING MERRITT ISLAND,535 CROCKETT BLVD,,MERRITT ISLAND,FL,32953,Brevard,(321) 454-2363,535 CROCKETT BLVD,,MERRITT ISLAND,FL,32953,Brevard,LICENSED,SOLARIS SENIOR LIVING OF MERRITT ISLAND  LLC.,1/1/2016,SHAWN P. CORLEY,95,Not-For-Profit,solarishealthcare.org
11932376,8042,1/1/2020,3/31/2022,Assisted Living Facility,SOLARIS SENIOR LIVING NORTH NAPLES,10949 PARNU STREET,,NAPLES,FL,34109,Collier,(239) 592-5501,10949 PARNU STREET,,NAPLES,FL,34109,Collier,LICENSED,SOLARIS HEALTHCARE NORTH NAPLES  LLC,1/1/2016,JENNIFER LYNN IAVARONE,36,Not-For-Profit,solarishealthcare.org
11964318,8963,1/1/2020,3/31/2022,Assisted Living Facility,SOLARIS SENIOR LIVING STUART,860 SE CENTRAL PARKWAY,,STUART,FL,34994,Martin,(772) 287-9909,860 SE CENTRAL PARKWAY,,STUART,FL,34994,Martin,LICENSED,SOLARIS SENIOR LIVING OF STUART  LLC,1/1/2016,MARIANNE SALEM,100,Not-For-Profit,solarishealthcare.org
11963720,8672,1/1/2020,3/31/2022,Assisted Living Facility,SOLARIS SENIOR LIVING VERO BEACH,3855 INDIAN RIVER BLVD,,VERO BEACH,FL,32960,Indian River,(772) 770-3796,PO BOX 110881,,NAPLES,FL,34108-0115,Collier,LICENSED,SOLARIS SENIOR LIVING OF VERO  LLC,1/1/2016,LESLIE F WILLIAMS,135,Not-For-Profit,solarishealthcare.org
11966760,10918,11/9/2018,2/6/2021,Assisted Living Facility,SOLITA'S COMFORT,12195 SE 135 AVE,,OCKLAWAHA,FL,32179,Marion,(352) 288-0226,12195 SE 135 AVE,,OCKLAWAHA,FL,32179,Marion,LICENSED,SOLITA'S COMFORT INC.,8/4/2006,SANDRA MEECE,50,For-Profit,
11968498,12395,8/27/2019,11/24/2021,Assisted Living Facility,SOLUTIONS HOME CARE SERVICES II  INC,16910 SW 119TH AVE,,MIAMI,FL,33177,Miami-Dade,(305) 234-0818,16910 SW 119TH AVE,,MIAMI,FL,33177,Miami-Dade,LICENSED,SOLUTIONS HOME CARE SERVICES II INC,5/9/2013,FRANCYS AGUILERA,6,For-Profit,
11967527,11552,3/18/2019,6/15/2021,Assisted Living Facility,SOLUTIONS HOME CARE SERVICES INC,11935 SW 181ST TERRACE,,MIAMI,FL,33177,Miami-Dade,(786) 718-5595,11935 SW 181ST TERRACE,,MIAMI,FL,33177,Miami-Dade,LICENSED,SOLUTIONS HOME CARE SERVICE  INC,3/17/2009,FRANCYS AGUILERA,6,For-Profit,
11965392,9738,1/12/2020,4/11/2022,Assisted Living Facility,SOME PLACE LIKE HOME  INC 2,2307 SMULLIAN TRAIL N,,JACKSONVILLE,FL,32217,Duval,(904) 744-8580,3930 NOVALINE LANE,,JACKSONVILLE,FL,32277,Duval,LICENSED,SOME PLACE LIKE HOME INC.,12/6/1999,LISA ANTONETT DOWLING,6,For-Profit,www.splh.net
11965767,10089,10/10/2019,1/7/2022,Assisted Living Facility,SOME PLACE LIKE HOME  INC 3,4217 CHIPPEWA DRIVE,,JACKSONVILLE,FL,32210,Duval,(904) 674-0875,3930 NOVALINE LANE,,JACKSONVILLE,FL,32277,Duval,LICENSED,SOME PLACE LIKE HOME INC.,9/17/2001,CONNIE TURBEVILLE,6,For-Profit,www.someplacelikehome.care
11964968,9424,12/23/2018,3/22/2021,Assisted Living Facility,SOME PLACE LIKE HOME  INC.,7819 N GLEN ECHO RD,,JACKSONVILLE,FL,32211,Duval,(904) 744-8580,3930 NOVALINE LANE,,JACKSONVILLE,FL,32277,Duval,LICENSED,SOME PLACE LIKE HOME INC.,9/25/1998,BARBARA Y. TIDWELL,6,For-Profit,WWW.SPLH.NET
11968913,12742,1/30/2019,4/29/2021,Assisted Living Facility,SOMERBY LAKE NONA,9682 LAKE NONA VILLAGE PL,,ORLANDO,FL,32827,Orange,(407) 226-3113,9682 LAKE NONA VILLAGE PL,,ORLANDO,FL,32827,Orange,LICENSED,NONA SENIOR CARE  LLC,1/30/2017,MISTY TRAVIS,89,For-Profit,
11968795,12667,2/16/2019,5/16/2021,Assisted Living Facility,SOMERBY SANTA ROSA BEACH,164 W HEWETT RD,,SANTA ROSA BEACH,FL,32459,Walton,(850) 660-6037,164 W HEWETT RD,,SANTA ROSA BEACH,FL,32459,Walton,LICENSED,Hewett Senior Care LLC,12/21/2018,ANN S MCCANNON,96,For-Profit,somerbyseniorliving.com
11910627,7472,4/30/2018,4/29/2020,Assisted Living Facility,SOMERSET,2450 DORA AVENUE,,TAVARES,FL,32778,Lake,(352) 343-4464,2450 DORA AVENUE,,TAVARES,FL,32778,Lake,IN REVIEW,JEST OPERATING  INC.,4/30/2004,ELIZABETH HEIMAN,60,For-Profit,
11968435,12425,10/14/2019,1/11/2022,Assisted Living Facility,SOMERSET COMMUNITY ASSISTED LIVING AND MEMORY CARE,34731 CHANCEY RD,,ZEPHYRHILLS,FL,33541,Pasco,(813) 600-3778,34731 CHANCEY RD,,ZEPHYRHILLS,FL,33541,Pasco,LICENSED,SOMERSET COMMUNITY ASSISTED LIVING AND MEMORY CARE,10/14/2013,JULIUS BEN-ACQUAAH,6,For-Profit,
11964604,9120,5/29/2019,8/26/2021,Assisted Living Facility,SOMERSET HOUSE,1540 OAK HARBOR BOULEVARD,,VERO BEACH,FL,32967,Indian River,(772) 778-8181,1540 OAK HARBOR BOULEVARD,,VERO BEACH,FL,32967,Indian River,LICENSED,OAK HARBOR SENIOR LIVING LLC,5/29/2015,JENNIFER COURTNEY,35,For-Profit,www.somersethouseverobeach.com
11910194,6052,2/3/2019,5/3/2021,Assisted Living Facility,SONADORA OF DUNEDIN  INC,3240 COUNTY ROAD 1,,DUNEDIN,FL,34698,Pinellas,(727) 738-5392,3240 COUNTY ROAD 1,,DUNEDIN,FL,34698,Pinellas,LICENSED,SONADORA OF DUNEDIN  INC,2/3/2017,LISA ROSE,10,For-Profit,
11965569,9911,12/1/2018,2/28/2021,Assisted Living Facility,SONATA BOCA RATON,9591 YAMATO ROAD,,BOCA RATON,FL,33434,Palm Beach,(561) 477-8808,9591 YAMATO ROAD,,BOCA RATON,FL,33434,Palm Beach,LICENSED,HCP BOCA RATON FL OpCo  LLC,12/1/2016,MICHAEL A GRAHAM,88,For-Profit,www.sonataseniorliving.com
11965386,9745,12/1/2018,2/28/2021,Assisted Living Facility,SONATA BOYNTON BEACH,2400 SOUTH CONGRESS AVENUE,,BOYNTON BEACH,FL,33426,Palm Beach,(561) 733-8444,2400 SOUTH CONGRESS AVENUE,,BOYNTON BEACH,FL,33426,Palm Beach,LICENSED,HCP BOYNTON BEACH FL OpCo  LLC,12/1/2016,CHRISTINE CHEESEMAN,101,For-Profit,www.sonataseniorliving.com
11965413,9784,1/30/2019,4/29/2021,Assisted Living Facility,SONATA COCONUT CREEK,4175 WEST SAMPLE ROAD,,COCONUT CREEK,FL,33073,Broward,(954) 975-6399,4175 WEST SAMPLE ROAD,,COCONUT CREEK,FL,33073,Broward,LICENSED,HCP COCONUT CREEK FL OPCO  LLC,10/25/2016,JENNIFER FORBES,104,For-Profit,https://sonataseniorliving.com/senior-communities-in-florida/sonata-coconut-creek/
11965162,9664,10/1/2018,12/29/2020,Assisted Living Facility,THE WATERMARK OF GULF BREEZE,101 MCABEE COURT,,GULF BREEZE,FL,32561,Santa Rosa,(850) 934-1061,101 MCABEE COURT,,GULF BREEZE,FL,32561,Santa Rosa,LICENSED,LONG TERM CARE OF GULF BREEZE LLC,10/1/2014,TAMMY GOODMAN,110,For-Profit,watermarkofgulfbreeze.com
11968749,12648,4/2/2019,6/30/2021,Assisted Living Facility,THE WILLOWS AT WILDWOOD,4725 BELLWETHER LN,,OXFORD,FL,34484,Sumter,(352) 430-0076,4725 BELLETHER LANE,,OXFORD,FL,34484,Sumter,LICENSED,OXFORD CARE GROUP  LP,2/3/2015,PAMELA LYNN CAMPBELL,134,For-Profit,www.leisurecare.com
11969141,12962,2/7/2019,5/7/2021,Assisted Living Facility,THERE'S NOTHING LIKE HOMECARE LLC,251 FALLS CHURCH ST,,PALM BAY,FL,32908,Brevard,(321) 722-4264,251 FALLS CHURCH ST,,PALM BAY,FL,32908,Brevard,LICENSED,THERE'S NOTHING LIKE HOMECARE  LLC,12/6/2016,MARIE LISENA DESTINE JACQUES,6,For-Profit,
11966643,10785,12/2/2019,3/1/2022,Assisted Living Facility,THERESA HOME,485 MAPLEWAY,,SAFETY HARBOR,FL,34695,Pinellas,(727) 492-8371,901 EARLHAM DR,,CLEARWATER,FL,33765,Pinellas,LICENSED,THERESA'S HOME CARE INC,12/2/2013,THERESA GONZALES,20,For-Profit,
11965768,10099,11/13/2019,2/10/2022,Assisted Living Facility,THORNTON GARDENS,618 EAST CENTRAL BLVD,,ORLANDO,FL,32821,Orange,(407) 383-9040,618 EAST CENTRAL BLVD,,ORLANDO,FL,32801-2948,Orange,LICENSED,THORNTON GARDENS  LLC,9/19/2001,LISA SMITH,9,For-Profit,
11967095,11184,12/11/2019,3/10/2022,Assisted Living Facility,THORNTON GARDENS II,1516 MONTCALM STREET,,ORLANDO,FL,32806,Orange,(407) 858-5446,1516 MONTCALM STREET,,ORLANDO,FL,32806,Orange,LICENSED,THORNTON GARDENS II   LLC,9/27/2007,LISA SMITH,6,For-Profit,thorntongardens.com
11967228,11269,3/14/2018,3/13/2020,Assisted Living Facility,THORNTON GARDENS III,3119 FLORENE DRIVE,,ORLANDO,FL,32806,Orange,(407) 858-4441,3119 FLORENE DRIVE,,ORLANDO,FL,32806,Orange,IN REVIEW,THORNTON GARDENS III  LLC,2/1/2008,LISA SMITH,6,For-Profit,thorntongardens.org
11969275,13074,10/3/2019,12/31/2021,Assisted Living Facility,THRIVE AT BEACHWALK,15800 BEACHWALK BLVD,,FORT MYERS,FL,33908,Lee,(239) 349-3769,15800 BEACHWALK BLVD,,FORT MYERS,FL,33908,Lee,LICENSED,BEACHWALK SENIOR LIVING LLC,8/1/2017,SARAH BIEHL,135,For-Profit,www.thrivesl.com/beachwalk
11964424,9350,1/15/2020,4/14/2022,Assisted Living Facility,TIFFANY ALF,19240 SW 124 COURT,,MIAMI,FL,33177,Miami-Dade,(305) 278-7314,19240 SW 124 COURT,,MIAMI,FL,33177,Miami-Dade,LICENSED,VILLA MARIA SENIOR RESIDENCE CORP,7/15/2013,MARGARITA GONZALEZ,6,For-Profit,
11964026,8788,10/10/2018,1/7/2021,Assisted Living Facility,TIFFANY ON THE RIVER,402 N. RIVERSIDE DRIVE,,NEW SMYRNA BEACH,FL,32168,Volusia,(386) 423-1120,402 N. RIVERSIDE DRIVE,,NEW SMYRNA BEACH,FL,32168,Volusia,LICENSED,TIFFANY LAKE CARE CENTERS  INC.,7/3/2006,DESIREE VILANOVA,7,For-Profit,
11968296,12200,6/12/2018,9/9/2020,Assisted Living Facility,TIKAS ALF INC,14822 GARDEN DR.,,MIAMI,FL,33168,Miami-Dade,(305) 681-8382,14822 GARDEN DR.,,MIAMI,FL,33168,Miami-Dade,LICENSED,TIKA'S ALF  INC.,4/2/2012,CAROLLE FOSTER,6,For-Profit,
11967958,11914,1/30/2019,4/29/2021,Assisted Living Facility,TIMBERLANE LODGE ALF,415 S TIMBERLANE DRIVE,,NEW SMYRNA BEACH,FL,32168,Volusia,(386) 428-7442,3382 BELLINO BLVD,,NEW SMYRNA,FL,32168-0008,Volusia,LICENSED,SHANTI HOME CARE  LLC,1/30/2017,SANDEEP MAHAJAN,6,For-Profit,www.timberlanealf.com
11967574,11606,6/15/2019,9/13/2021,Assisted Living Facility,TINA'S ALF,1172 TARPON AVENUE,,SARASOTA,FL,34237,Sarasota,(941) 375-1354,1172 TARPON AVENUE,,SARASOTA,FL,34237,Sarasota,LICENSED,TINA'S ASSISTED LIVING FACILITY CORP.,4/12/2011,ERNESTINA MARGARITA BAREA,6,For-Profit,
11966084,10346,8/1/2019,10/29/2021,Assisted Living Facility,TITUSVILLE TOWERS ALF,405 INDIAN RIVER AVENUE,,TITUSVILLE,FL,32796,Brevard,(321) 264-8965,524 S HOPKINS AVENUE,,TITUSVILLE,FL,32796,Brevard,LICENSED,TITUSVILLE HOUSING AUTHORITY,6/6/2003,ROBERT LAMBERT,138,Not-For-Profit,titusvilletowers.com
11966213,10455,11/27/2018,2/24/2021,Assisted Living Facility,TL SEA HOME CARE SERVICES,14031 SW 39 ST,,MIAMI,FL,33175,Miami-Dade,(305) 480-5995,14031 SW 39 ST,,MIAMI,FL,33175,Miami-Dade,LICENSED,MARITAR CARGO SERVICES  CORP,11/27/2006,DAYLENA MATOS SORIANO,8,For-Profit,
11968089,12030,7/22/2019,10/19/2021,Assisted Living Facility,TLC FAMILY CARE HOME,34017 S HAINES CREEK RD,,LEESBURG,FL,34788-4317,Lake,(352) 343-0433,34017 S HAINES CREEK RD,,LEESBURG,FL,34788-4317,Lake,LICENSED,TLC FAMILY CARE HOME  INC.,5/2/2011,WILL R. GIFFORD,6,For-Profit,www.TLCFamilyCareHome.com
11965295,9762,2/8/2018,2/7/2020,Assisted Living Facility,TLC HOME INC III,8395 SW 112 STREET,,MIAMI,FL,33156,Miami-Dade,(305) 271-5861,8395 SW 112 STREET,,MIAMI,FL,33156,Miami-Dade,IN REVIEW,TLC HOME INC,2/8/2000,BARBARA CLIFFORD,6,For-Profit,
11966036,10306,5/30/2019,8/27/2021,Assisted Living Facility,TOBY WEINMAN ASSISTED LIVING RESIDENCE AT MENORAH MANOR,240 59TH ST NO,,SAINT PETERSBURG,FL,33710-8539,Pinellas,(727) 341-1818,255 59TH ST N,,ST PETERSBURG,FL,33710-8539,Pinellas,LICENSED,MENORAH MANOR INC,2/28/2005,SURESH V. PAI,24,Not-For-Profit,tobyweinmanassistedliving.org
11969100,12952,1/12/2019,4/11/2021,Assisted Living Facility,TOMEGUIN GARDEN ASSISTED LIVING LLC,107 CELAVA CT,,KISSIMMEE,FL,34743,Osceola,(407) 344-2998,107 CELAVA CT,,KISSIMMEE,FL,34743,Osceola,LICENSED,TOMEGUIN GARDEN ASSISTED LIVING  LLC.,9/6/2016,NEYSI ARIAS,6,For-Profit,
11968512,12386,8/9/2019,11/6/2021,Assisted Living Facility,TOMLIN'S LUXURIOUS LIVING  LLC,1301 N 47TH AVE,,HOLLYWOOD,FL,33021-4700,Broward,(954) 865-6161,1301 N 47TH AVE,,HOLLYWOOD,FL,33021-4700,Broward,LICENSED,TOMLIN'S LUXURIOUS LIVING  LLC,6/10/2013,EDITH TOMLIN,5,For-Profit,
11968714,12845,6/6/2018,9/3/2020,Assisted Living Facility,TONI MARY HOME ALF CORP,1662 SW ALVATON AVENUE,,PORT SAINT LUCIE,FL,34953,St. Lucie,(772) 985-0929,1662 SW ALVATON AVENUE,,PORT SAINT LUCIE,FL,34953,St. Lucie,LICENSED,TONI MARY HOME ALF CORP,8/21/2014,RAQUEL VELASQUEZ,6,For-Profit,
11967351,11393,8/15/2018,11/12/2020,Assisted Living Facility,TORIA'S ASSISTED LIVING FACILITY I,2073 BALFOUR CIR,,TAMPA,FL,33619-5900,Hillsborough,(813) 361-9328,P.O. BOX 6457,,BRANDON,FL,33508,Hillsborough,LICENSED,TORIA'S SUPPORT CARE SERVICES INC,6/11/2008,VICTORIA ROWE,7,For-Profit,www.toriasupportcare.com
11967240,11326,8/28/2019,5/19/2018,Assisted Living Facility,TORIA'S ASSISTED LIVING FACILITY II,613 FOREST HILLS DR,,BRANDON,FL,33510-3825,Hillsborough,(813) 361-9328,P.O. BOX 6457,,BRANDON,FL,33508,Hillsborough,IN LITIGATION,TORIA'S SUPPORT CARE SERVICES INC,5/20/2008,VICTORIA ROWE,7,For-Profit,www.toriasupportcar.com
